ccounty,precinct,office,district,candidate,party,votes
Cass,LaGrange Township,LaGrange Township Supervisor,,Leon Gilliam,DEM,287
Cass,LaGrange Township,LaGrange Township Supervisor,,Brittany File,REP,172
Cass,LaGrange Township,LaGrange Township Supervisor,,Unresolved Write-In,,4
Cass,LaGrange Township,LaGrange Township Clerk,,Tasha E. McCoy,REP,306
Cass,LaGrange Township,LaGrange Township Clerk,,Unresolved Write-In,,7
Cass,LaGrange Township,LaGrange Township Treasurer,,Naomi J. Criswell,REP,307
Cass,LaGrange Township,LaGrange Township Treasurer,,Unresolved Write-In,,6
Cass,LaGrange Township,LaGrange Township Trustee,,Paul D. File,REP,248
Cass,LaGrange Township,LaGrange Township Trustee,,Amy J. Juroff,REP,275
Cass,LaGrange Township,LaGrange Township Trustee,,Unresolved Write-In,,14
Cass,LaGrange Township,Justice of Supreme Court 8 Year Term,,Andrew Fink,,104
Cass,LaGrange Township,Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,252
Cass,LaGrange Township,Justice of Supreme Court 8 Year Term,,Total Unresolved Write-In,,4
Cass,LaGrange Township,Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,247
Cass,LaGrange Township,Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,108
Cass,LaGrange Township,Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,4
Cass,LaGrange Township,Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,245
Cass,LaGrange Township,Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,245
Cass,LaGrange Township,Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,6
Cass,LaGrange Township,Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,283
Cass,LaGrange Township,Judge of Probate Court Incumbent Position,,Unresolved Write-In,,5
Cass,LaGrange Township,Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,258
Cass,LaGrange Township,Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,257
Cass,LaGrange Township,Southwestern Michigan College Board of Trustees Member,,Unresolved Write-In,,8
Cass,LaGrange Township,Village of Cassopolis President,,David L. Johnson,,83
Cass,LaGrange Township,Village of Cassopolis President,,Jim Pedersen,,70
Cass,LaGrange Township,Village of Cassopolis President,,Unresolved Write-In,,2
Cass,LaGrange Township,Village of Cassopolis Trustee,,Kimberle Danzy-Yeager,,114
Cass,LaGrange Township,Village of Cassopolis Trustee,,Stefon Luckey,,100
Cass,LaGrange Township,Village of Cassopolis Trustee,,Frank Williams Jr.,,105
Cass,LaGrange Township,Village of Cassopolis Trustee,,Unresolved Write-In,,3
Cass,LaGrange Township,Cassopolis Public Schools Board Member,,Della Bundle,,114
Cass,LaGrange Township,Cassopolis Public Schools Board Member,,Joseph Lenex,,37
Cass,LaGrange Township,Cassopolis Public Schools Board Member,,Amanda Smego,,155
Cass,LaGrange Township,Cassopolis Public Schools Board Member,,Aaron Steensma,,148
Cass,LaGrange Township,Cassopolis Public Schools Board Member,,Joshua Stoops,,76
Cass,LaGrange Township,Cassopolis Public Schools Board Member,,Unresolved Write-In,,2
Cass,LaGrange Township,Dowagiac Union Schools Board Member 4 Year Term,,Christina Carpenter,,80
Cass,LaGrange Township,Dowagiac Union Schools Board Member 4 Year Term,,Tracey Hatcher,,80
Cass,LaGrange Township,Dowagiac Union Schools Board Member 4 Year Term,,Dominique Hood-Charles,,74
Cass,LaGrange Township,Dowagiac Union Schools Board Member 4 Year Term,,Randi Taggart,,90
Cass,LaGrange Township,Dowagiac Union Schools Board Member 4 Year Term,,Unresolved Write-In,,1
Cass,LaGrange Township,Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Jeff de Varona,,91
Cass,LaGrange Township,Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Unresolved Write-In,,0
Cass,"Marcellus Township, Precinct 1",Registered Voters,,,,1775
Cass,"Marcellus Township, Precinct 1",Ballots Cast,,,,1183
Cass,"Marcellus Township, Precinct 1",Straight Party Ticket,,Democratic Party,DEM,236
Cass,"Marcellus Township, Precinct 1",Straight Party Ticket,,Republican Party,REP,441
Cass,"Marcellus Township, Precinct 1",Straight Party Ticket,,Libertarian Party,LIB,4
Cass,"Marcellus Township, Precinct 1",Straight Party Ticket,,U.S. Taxpayers Party,UST,0
Cass,"Marcellus Township, Precinct 1",Straight Party Ticket,,Green Party,GRN,2
Cass,"Marcellus Township, Precinct 1",Straight Party Ticket,,Working Class Party,WCP,4
Cass,"Marcellus Township, Precinct 1",Straight Party Ticket,,Natural Law Party,NLP,1
Cass,"Marcellus Township, Precinct 1",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"Marcellus Township, Precinct 1",President,,Kamala D. Harris/Tim Walz,DEM,429
Cass,"Marcellus Township, Precinct 1",President,,Donald J. Trump/JD Vance,REP,726
Cass,"Marcellus Township, Precinct 1",President,,Chase Oliver/Mike ter Maat,LIB,4
Cass,"Marcellus Township, Precinct 1",President,,Randall Terry/Stephen E. Broden,UST,3
Cass,"Marcellus Township, Precinct 1",President,,Jill Stein/Rudolph Ware,GRN,5
Cass,"Marcellus Township, Precinct 1",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,9
Cass,"Marcellus Township, Precinct 1",President,,Joseph Kishore/Jerry White,NPA,2
Cass,"Marcellus Township, Precinct 1",President,,Cornel West/Melina Abdullah,NPA,1
Cass,"Marcellus Township, Precinct 1",President,,Peter Sonski,WRITE-IN,0
Cass,"Marcellus Township, Precinct 1",President,,Unresolved Write-in,,3
Cass,"Marcellus Township, Precinct 1",United States Senator,,Elissa Slotkin,DEM,412
Cass,"Marcellus Township, Precinct 1",United States Senator,,Mike Rogers,REP,693
Cass,"Marcellus Township, Precinct 1",United States Senator,,Joseph Solis-Mullen,LIB,16
Cass,"Marcellus Township, Precinct 1",United States Senator,,Dave Stein,UST,20
Cass,"Marcellus Township, Precinct 1",United States Senator,,Douglas P. Marsh,GRN,9
Cass,"Marcellus Township, Precinct 1",United States Senator,,Doug Dern,NLP,9
Cass,"Marcellus Township, Precinct 1",United States Senator,,Unresolved Write-In,,2
Cass,"Marcellus Township, Precinct 1",U.S. House,5,Libbi Urban,DEM,389
Cass,"Marcellus Township, Precinct 1",U.S. House,5,Tim Walberg,REP,724
Cass,"Marcellus Township, Precinct 1",U.S. House,5,James Bronke,GRN,30
Cass,"Marcellus Township, Precinct 1",U.S. House,5,Unresolved Write-In,,3
Cass,"Marcellus Township, Precinct 1",State House,36,Erin L. Schultes,DEM,407
Cass,"Marcellus Township, Precinct 1",State House,36,Steve Carra,REP,729
Cass,"Marcellus Township, Precinct 1",State House,36,Unresolved Write-In,,4
Cass,"Marcellus Township, Precinct 1",Member of the State Board of Education,,Theodore Jones,DEM,370
Cass,"Marcellus Township, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,DEM,350
Cass,"Marcellus Township, Precinct 1",Member of the State Board of Education,,Tom McMillin,REP,609
Cass,"Marcellus Township, Precinct 1",Member of the State Board of Education,,Nikki Snyder,REP,625
Cass,"Marcellus Township, Precinct 1",Member of the State Board of Education,,Scotty Boman,LIB,37
Cass,"Marcellus Township, Precinct 1",Member of the State Board of Education,,Ted Gerrard,UST,12
Cass,"Marcellus Township, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,UST,33
Cass,"Marcellus Township, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,WCP,80
Cass,"Marcellus Township, Precinct 1",Member of the State Board of Education,,Unresolved Write-In,,4
Cass,"Marcellus Township, Precinct 1",Regent of the University of Michigan,,Denise llitch,DEM,366
Cass,"Marcellus Township, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,363
Cass,"Marcellus Township, Precinct 1",Regent of the University of Michigan,,Carl Meyers,REP,654
Cass,"Marcellus Township, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,REP,574
Cass,"Marcellus Township, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,LIB,43
Cass,"Marcellus Township, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,UST,63
Cass,"Marcellus Township, Precinct 1",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"Marcellus Township, Precinct 1",Regent of the University of Michigan,,Unresolved Write-In,,7
Cass,"Marcellus Township, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,377
Cass,"Marcellus Township, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,DEM,332
Cass,"Marcellus Township, Precinct 1",Trustee of Michigan State University,,Mike Balow,REP,634
Cass,"Marcellus Township, Precinct 1",Trustee of Michigan State University,,Julie Maday,REP,616
Cass,"Marcellus Township, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,LIB,26
Cass,"Marcellus Township, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,UST,44
Cass,"Marcellus Township, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,UST,22
Cass,"Marcellus Township, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,GRN,23
Cass,"Marcellus Township, Precinct 1",Trustee of Michigan State University,,Unresolved Write-In,,3
Cass,"Marcellus Township, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,DEM,332
Cass,"Marcellus Township, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,DEM,344
Cass,"Marcellus Township, Precinct 1",Governor of Wayne State University,,Michael Busuito,REP,607
Cass,"Marcellus Township, Precinct 1",Governor of Wayne State University,,Sunny Reddy,REP,622
Cass,"Marcellus Township, Precinct 1",Governor of Wayne State University,,Farid Ishac,LIB,18
Cass,"Marcellus Township, Precinct 1",Governor of Wayne State University,,William Mohr II,UST,19
Cass,"Marcellus Township, Precinct 1",Governor of Wayne State University,,Sami Makhoul,GRN,17
Cass,"Marcellus Township, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,WCP,63
Cass,"Marcellus Township, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,NLP,19
Cass,"Marcellus Township, Precinct 1",Governor of Wayne State University,,Unresolved Write-In,,4
Cass,"Marcellus Township, Precinct 1",County Prosecuting Attorney,,Victor Fitz,REP,855
Cass,"Marcellus Township, Precinct 1",County Prosecuting Attorney,,Unresolved Write-In,,20
Cass,"Marcellus Township, Precinct 1",County Sheriff,,Clint Roach,REP,857
Cass,"Marcellus Township, Precinct 1",County Sheriff,,Unresolved Write-In,,21
Cass,"Marcellus Township, Precinct 1",County Clerk and Register of Deeds,,Monica McMichael,REP,861
Cass,"Marcellus Township, Precinct 1",County Clerk and Register of Deeds,,Unresolved Write-In,,16
Cass,"Marcellus Township, Precinct 1",County Treasurer,,Hope Anderson,REP,854
Cass,"Marcellus Township, Precinct 1",County Treasurer,,Unresolved Write-In,,15
Cass,"Marcellus Township, Precinct 1",County Drain Commissioner,,Jeff VanBelle,REP,844
Cass,"Marcellus Township, Precinct 1",County Drain Commissioner,,Unresolved Write-In,,15
Cass,"Marcellus Township, Precinct 1",County Surveyor,,Thomas A. Stephenson,NPA,610
Cass,"Marcellus Township, Precinct 1",County Surveyor,,Unresolved Write-In,,11
Cass,"Marcellus Township, Precinct 1",County Commissioner 3rd District,,Alan Northrop,REP,866
Cass,"Marcellus Township, Precinct 1",County Commissioner 3rd District,,Unresolved Write-In,,17
Cass,"Marcellus Township, Precinct 1",Marcellus Township Supervisor,,Edward J. Koshar,REP,862
Cass,"Marcellus Township, Precinct 1",Marcellus Township Supervisor,,Unresolved Write-In,,28
Cass,"Marcellus Township, Precinct 1",Marcellus Township Clerk,,Darcie L. Plummer,DEM,719
Cass,"Marcellus Township, Precinct 1",Marcellus Township Clerk,,Unresolved Write-In,,59
Cass,"Marcellus Township, Precinct 1",Marcellus Township Treasurer,,LeeAnn Mroz,REP,853
Cass,"Marcellus Township, Precinct 1",Marcellus Township Treasurer,,Unresolved Write-In,,20
Cass,"Marcellus Township, Precinct 1",Marcellus Township Trustee,,"Donald A. Hess, Jr.",REP,762
Cass,"Marcellus Township, Precinct 1",Marcellus Township Trustee,,Matthew Schick,REP,793
Cass,"Marcellus Township, Precinct 1",Marcellus Township Trustee,,Unresolved Write-In,,25
Cass,"Marcellus Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Andrew Fink,,396
Cass,"Marcellus Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,440
Cass,"Marcellus Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Unresolved Write-In,,18
Cass,"Marcellus Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,491
Cass,"Marcellus Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,326
Cass,"Marcellus Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,20
Cass,"Marcellus Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,503
Cass,"Marcellus Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,538
Cass,"Marcellus Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,31
Cass,"Marcellus Township, Precinct 1",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,659
Cass,"Marcellus Township, Precinct 1",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,26
Cass,"Marcellus Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,508
Cass,"Marcellus Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,583
Cass,"Marcellus Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Unresolved Write-In,,23
Cass,"Marcellus Township, Precinct 1",Marcellus Township Library Board Director,,Joel Bartram,,520
Cass,"Marcellus Township, Precinct 1",Marcellus Township Library Board Director,,Janice Ludlow,,591
Cass,"Marcellus Township, Precinct 1",Marcellus Township Library Board Director,,Heather Shenfeld,,547
Cass,"Marcellus Township, Precinct 1",Marcellus Township Library Board Director,,Unresolved Write-In,,20
Cass,"Marcellus Township, Precinct 1",Hudson Memorial Building Director,,Carmi E. Essex,,506
Cass,"Marcellus Township, Precinct 1",Hudson Memorial Building Director,,Sarah E. Essex,,554
Cass,"Marcellus Township, Precinct 1",Hudson Memorial Building Director,,Cherie Jackson,,456
Cass,"Marcellus Township, Precinct 1",Hudson Memorial Building Director,,David McClain,,471
Cass,"Marcellus Township, Precinct 1",Hudson Memorial Building Director,,Dawn Melville,,497
Cass,"Marcellus Township, Precinct 1",Hudson Memorial Building Director,,Unresolved Write-In,,25
Cass,"Marcellus Township, Precinct 1",Village of Marcellus President,,Dennis Lee Irwin,,302
Cass,"Marcellus Township, Precinct 1",Village of Marcellus President,,Total Unresolved Write-In,,16
Cass,"Marcellus Township, Precinct 1",Village of Marcellus Trustee,,Sarah Engstrom,,287
Cass,"Marcellus Township, Precinct 1",Village of Marcellus Trustee,,George Markle,,191
Cass,"Marcellus Township, Precinct 1",Village of Marcellus Trustee,,Unresolved Write-In,,24
Cass,"Marcellus Township, Precinct 1",Marcellus Community Schools Board Member,,Matt Asmus,,538
Cass,"Marcellus Township, Precinct 1",Marcellus Community Schools Board Member,,Emily Good,,531
Cass,"Marcellus Township, Precinct 1",Marcellus Community Schools Board Member,,Vicki Welburn-Essex,,568
Cass,"Marcellus Township, Precinct 1",Marcellus Community Schools Board Member,,Unresolved Write-In,,12
Cass,"Marcellus Township, Precinct 1",Marcellus Township Millage Proposition for Fire and Ambulance Capital Equipment Purchases and Capital Maintenance Expenses,,Yes,,600
Cass,"Marcellus Township, Precinct 1",Marcellus Township Millage Proposition for Fire and Ambulance Capital Equipment Purchases and Capital Maintenance Expenses,,No,,413
Cass,"Marcellus Township, Precinct 1",Marcellus Township Millage Proposition for Fire and Ambulance Capital Equipment Purchases and Capital Maintenance Expenses,,Unresolved Write-In,,0
Cass,"Marcellus Township, Precinct 1",Hudson Memorial Building Millage Renewal Proposition,,Yes,,597
Cass,"Marcellus Township, Precinct 1",Hudson Memorial Building Millage Renewal Proposition,,No,,407
Cass,"Marcellus Township, Precinct 1",Hudson Memorial Building Millage Renewal Proposition,,Unresolved Write-In,,0
Cass,"Mason Township, Precinct 1",Registered Voters,,,,1908
Cass,"Mason Township, Precinct 1",Ballots Cast,,,,1104
Cass,"Mason Township, Precinct 1",Straight Party Ticket,,Democratic Party,DEM,162
Cass,"Mason Township, Precinct 1",Straight Party Ticket,,Republican Party,REP,548
